# variant number, timestamp, time elapse, status, fitness, percentage, edit
-1,2023-08-04 08:27:16,71,INITIAL SUCCESS,110227568389,100,0
0-1,2023-08-04 08:27:16,71,SUCCESS,110227568389,100.0,0
0-2,2023-08-04 08:27:16,71,SUCCESS,110227568389,100.0,0
0-3,2023-08-04 08:28:31,146,RUN_TIMEOUT,None,None,None
0-4,2023-08-04 08:29:45,220,RUN_TIMEOUT,None,None,None
0-5,2023-08-04 08:30:42,277,SUCCESS,91588202073,83.09,2
0-6,2023-08-04 08:31:57,352,RUN_TIMEOUT,None,None,None
0-7,2023-08-04 08:33:11,426,RUN_TIMEOUT,None,None,None
0-8,2023-08-04 08:34:20,495,SUCCESS,110230081906,100.0,2
0-9,2023-08-04 08:35:04,539,SUCCESS,65498891085,59.42,1
0-10,2023-08-04 08:35:43,578,SUCCESS,57285209041,51.97,1
1-1,2023-08-04 08:35:43,578,SUCCESS,110227568389,100.0,0
1-2,2023-08-04 08:36:57,652,RUN_TIMEOUT,None,None,None
1-3,2023-08-04 08:36:57,652,SUCCESS,57285209041,51.97,1
1-4,2023-08-04 08:36:57,652,SUCCESS,110227568389,100.0,0
1-5,2023-08-04 08:36:57,652,SUCCESS,91588202073,83.09,2
1-6,2023-08-04 08:38:11,726,RUN_TIMEOUT,None,None,None
1-7,2023-08-04 08:38:11,726,SUCCESS,57285209041,51.97,1
1-8,2023-08-04 08:38:11,726,SUCCESS,110227568389,100.0,0
1-9,2023-08-04 08:39:08,783,SUCCESS,88214139909,80.03,2
1-10,2023-08-04 08:40:16,851,SUCCESS,110235834213,100.01,1
2-1,2023-08-04 08:40:16,851,SUCCESS,57285209041,51.97,1
2-2,2023-08-04 08:40:16,851,SUCCESS,57285209041,51.97,1
2-3,2023-08-04 08:41:31,926,RUN_TIMEOUT,None,None,None
2-4,2023-08-04 08:41:31,926,SUCCESS,110227568389,100.0,0
2-5,2023-08-04 08:41:31,926,SUCCESS,91588202073,83.09,2
2-6,2023-08-04 08:42:45,1000,RUN_TIMEOUT,None,None,None
2-7,2023-08-04 08:43:54,1069,SUCCESS,110210007227,99.98,1
2-8,2023-08-04 08:45:08,1143,RUN_TIMEOUT,None,None,None
2-9,2023-08-04 08:45:08,1143,SUCCESS,57285209041,51.97,1
2-10,2023-08-04 08:46:21,1216,SUCCESS,106545664993,96.66,2
3-1,2023-08-04 08:46:21,1216,SUCCESS,57285209041,51.97,1
3-2,2023-08-04 08:46:21,1216,SUCCESS,57285209041,51.97,1
3-3,2023-08-04 08:46:21,1216,SUCCESS,57285209041,51.97,1
3-4,2023-08-04 08:46:21,1216,SUCCESS,57285209041,51.97,1
3-5,2023-08-04 08:47:35,1290,RUN_TIMEOUT,None,None,None
3-6,2023-08-04 08:48:48,1363,SUCCESS,110218597890,99.99,1
3-7,2023-08-04 08:48:48,1363,SUCCESS,57285209041,51.97,1
3-8,2023-08-04 08:48:48,1363,SUCCESS,110227568389,100.0,0
3-9,2023-08-04 08:48:48,1363,SUCCESS,110227568389,100.0,0
3-10,2023-08-04 08:48:48,1363,SUCCESS,57285209041,51.97,1
4-1,2023-08-04 08:48:48,1363,SUCCESS,57285209041,51.97,1
4-2,2023-08-04 08:49:50,1425,SUCCESS,96630193120,87.66,1
4-3,2023-08-04 08:49:50,1425,SUCCESS,57285209041,51.97,1
4-4,2023-08-04 08:49:50,1425,SUCCESS,57285209041,51.97,1
4-5,2023-08-04 08:49:50,1425,SUCCESS,57285209041,51.97,3
4-6,2023-08-04 08:49:50,1425,SUCCESS,57285209041,51.97,1
4-7,2023-08-04 08:49:50,1425,SUCCESS,57285209041,51.97,1
4-8,2023-08-04 08:49:50,1425,SUCCESS,57285209041,51.97,1
4-9,2023-08-04 08:49:50,1425,SUCCESS,57285209041,51.97,1
4-10,2023-08-04 08:49:50,1425,SUCCESS,57285209041,51.97,1
5-1,2023-08-04 08:51:04,1499,RUN_TIMEOUT,None,None,None
5-2,2023-08-04 08:51:04,1499,SUCCESS,57285209041,51.97,1
5-3,2023-08-04 08:51:04,1499,SUCCESS,57285209041,51.97,1
5-4,2023-08-04 08:51:04,1499,SUCCESS,57285209041,51.97,1
5-5,2023-08-04 08:51:48,1543,SUCCESS,66376353861,60.22,2
5-6,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
5-7,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
5-8,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
5-9,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
5-10,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
6-1,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
6-2,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
6-3,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
6-4,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
6-5,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
6-6,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
6-7,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
6-8,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
6-9,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
6-10,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
7-1,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
7-2,2023-08-04 08:51:48,1543,SUCCESS,57285209041,51.97,1
7-3,2023-08-04 08:53:02,1617,RUN_TIMEOUT,None,None,None
7-4,2023-08-04 08:53:02,1617,SUCCESS,57285209041,51.97,1
7-5,2023-08-04 08:53:03,1618,SUCCESS,57285209041,51.97,1
7-6,2023-08-04 08:53:03,1618,SUCCESS,57285209041,51.97,1
7-7,2023-08-04 08:53:03,1618,SUCCESS,57285209041,51.97,1
7-8,2023-08-04 08:53:03,1618,SUCCESS,57285209041,51.97,1
