# variant number, timestamp, time elapse, status, fitness, percentage, edit
-1,2023-08-04 14:46:00,73,INITIAL SUCCESS,106840786269,100,0
0-1,2023-08-04 14:46:00,73,SUCCESS,106840786269,100.0,0
0-2,2023-08-04 14:46:00,73,SUCCESS,106840786269,100.0,0
0-3,2023-08-04 14:47:10,143,SUCCESS,112810779613,105.59,2
0-4,2023-08-04 14:48:17,210,SUCCESS,106823551897,99.98,1
0-5,2023-08-04 14:49:28,281,RUN_TIMEOUT,None,None,None
0-6,2023-08-04 14:50:39,352,RUN_TIMEOUT,None,None,None
0-7,2023-08-04 14:51:51,424,RUN_TIMEOUT,None,None,None
0-8,2023-08-04 14:52:52,485,SUCCESS,95655250390,89.53,3
0-9,2023-08-04 14:54:03,556,RUN_TIMEOUT,None,None,None
0-10,2023-08-04 14:54:03,556,SUCCESS,106840786269,100.0,2
1-1,2023-08-04 14:54:39,592,SUCCESS,57586491578,53.9,2
1-2,2023-08-04 14:55:28,641,SUCCESS,76703631131,71.79,3
1-3,2023-08-04 14:56:40,713,RUN_TIMEOUT,None,None,None
1-4,2023-08-04 14:56:40,713,SUCCESS,106840786269,100.0,0
1-5,2023-08-04 14:56:40,713,SUCCESS,106823551897,99.98,1
1-6,2023-08-04 14:56:40,713,SUCCESS,106840786269,100.0,0
1-7,2023-08-04 14:56:40,713,SUCCESS,106840786269,100.0,0
1-8,2023-08-04 14:57:51,784,RUN_TIMEOUT,None,None,None
1-9,2023-08-04 14:57:51,784,SUCCESS,106823551897,99.98,1
1-10,2023-08-04 14:57:51,784,SUCCESS,106823551897,99.98,1
2-1,2023-08-04 14:58:35,828,SUCCESS,68804268195,64.4,3
2-2,2023-08-04 14:59:46,899,RUN_TIMEOUT,None,None,None
2-3,2023-08-04 15:00:46,959,SUCCESS,98206886201,91.92,5
2-4,2023-08-04 15:00:46,959,SUCCESS,57586491578,53.9,2
2-5,2023-08-04 15:00:46,959,SUCCESS,57586491578,53.9,2
2-6,2023-08-04 15:00:46,959,SUCCESS,76703631131,71.79,3
2-7,2023-08-04 15:00:46,959,SUCCESS,106823551897,99.98,2
2-8,2023-08-04 15:01:53,1026,SUCCESS,103548964424,96.92,4
2-9,2023-08-04 15:02:29,1062,SUCCESS,57589591917,53.9,3
2-10,2023-08-04 15:03:33,1126,SUCCESS,106841652369,100.0,2
3-1,2023-08-04 15:03:33,1126,SUCCESS,57586491578,53.9,2
3-2,2023-08-04 15:03:33,1126,SUCCESS,57586491578,53.9,2
3-3,2023-08-04 15:03:33,1126,SUCCESS,57589591917,53.9,3
